Initial mass [Msol]	Age [Gyr]	Evolutionary stage	Spectral type	Radii [Rsol]	Temperature	Luminosity [Lsol]	Remnant age [Gyr]	Final mass [Msol]
0.11940175070563266	4.61376464402269	Main sequence	M5V	0.13955434212030818	2999.157862509378	0.0014196382382686422	-	0.11940175070563266
0.4824918471722283	5.5305135341920355	Main sequence	M1V	0.4113702483557423	3689.259356181644	0.02824334853598307	-	0.4824918471722283
0.20769785677155617	4.884199639496601	Main sequence	M3V	0.19494142385630994	3359.793187517617	0.004362667620837568	-	0.20769785677155617
0.05937077091239469	4.594731605665892	Main sequence	T5	0.10582913347096945	1096.0231798072136	0.0003441956771277844	-	0.05937077091239469
0.015177976733618764	4.035718387436051	Main sequence	Y2	0.08303543683835432	369.992515092793	2.1652186252075478e-05	-	0.015177976733618764
0.07092048320861881	5.11596423079924	Main sequence	T2	0.11207049052420431	1226.1485486728905	0.0004935884391914494	-	0.07092048320861881
0.039240990766855215	4.098103408963506	Main sequence	T7	0.09523275324940651	807.5947748656109	0.0001486293734597488	-	0.039240990766855215
0.8406987389520523	7.157080058530516	Main sequence	K2V	0.7936107559233196	5030.084216661526	0.36325348880021047	-	0.8406987389520523
0.2442904158595952	8.928903167032177	Main sequence	M3V	0.21991329514693564	3434.54647011432	0.006062813900197149	-	0.2442904158595952
0.011972532889638331	3.8565299806316835	Main sequence	Y3	0.08144922061524022	308.5883549882501	1.3383240629577447e-05	-	0.011972532889638331
0.39419462240812464	6.085178554260472	Main sequence	M2V	0.33455623133108237	3549.092686375017	0.015999311358242337	-	0.39419462240812464
0.14169122955754568	4.518086268356207	Main sequence	M4V	0.1528866574029739	3125.1629927054323	0.002008739136833808	-	0.14169122955754568
0.04567965112937658	4.7080952352011725	Main sequence	T7	0.09858316236081599	875.4599724628368	0.00020226362878509067	-	0.04567965112937658
0.0565273385346977	7.75547182193519	Main sequence	T6	0.1043106391924554	888.2437499900569	0.00031158770709754094	-	0.0565273385346977
0.03563112329258912	2.115104575510042	Main sequence	T6	0.09337034552416969	923.8530656563697	0.00012221098777469522	-	0.03563112329258912
0.06313264398340954	2.2615514298027577	Main sequence	L8	0.10784907916387933	1450.8741995848266	0.00038986573507616745	-	0.06313264398340954
0.0465700014484929	1.3770238691863073	Main sequence	L9	0.09904934453540305	1324.8119843887184	0.00021033884166015	-	0.0465700014484929
0.0032189725932897212	6.452488070524494	Main sequence	Y7	0.07716373622361034	88.14100286493726	9.325038680481291e-07	-	0.0032189725932897212
0.07596917458395605	5.9764315388942855	Main sequence	T1	0.11483575686391809	1234.148326606012	0.0005674566148207487	-	0.07596917458395605
0.07654657037256883	6.8640154920395	Main sequence	T4	0.11515344206183671	1187.4153091542164	0.0005762373372417673	-	0.07654657037256883
0.011065760835645942	9.631143708533877	Main sequence	Y5	0.08100215020747199	214.93557545482838	1.140759344493922e-05	-	0.011065760835645942
1.1354480606523105	6.147200829270811	Main sequence	F9V	1.193112648960463	6098.045163304688	1.7734507170919138	-	1.1354480606523105
0.07338941400005768	4.205814700071319	Main sequence	L9	0.11341995964944827	1343.9985761577836	0.0005290595712887374	-	0.07338941400005768
0.11308413588957686	5.99505550751859	Main sequence	M5V	0.1358552970111695	2957.079128611076	0.0012714480344408255	-	0.11308413588957686
0.0423638726539188	2.50116841763416	Main sequence	T6	0.09685319818201522	1009.6585059150856	0.0001735989867779021	-	0.0423638726539188
0.0554130906706754	5.082863988428872	Main sequence	T6	0.10371753818729418	1001.926115170395	0.00029925808588157675	-	0.0554130906706754
0.12210369427644042	2.667341472312719	Main sequence	M5V	0.14114712528500303	3016.2134016864106	0.0014855456916833582	-	0.12210369427644042
0.229213529382422	8.238618247494008	Main sequence	M3V	0.20948114253319827	3407.1866027679484	0.005328036897444886	-	0.229213529382422
1.1067910294598189	4.484676739207056	Main sequence	F9V	1.1509041721958335	6039.444947948236	1.5876695465086001	-	1.1067910294598189
0.1475866012707256	3.995567838971254	Main sequence	M4V	0.1564863029675118	3153.5172400407478	0.002181861491448108	-	0.1475866012707256
0.07438012322556155	3.315090349072575	Main sequence	L8	0.11396297522302798	1467.9178963475624	0.0005436439759809248	-	0.07438012322556155
0.06413115175713203	5.945978621455089	Main sequence	T5	0.10838732874770284	1074.5958189350058	0.00040247231560623734	-	0.06413115175713203
0.3797012822770584	4.181693753815965	Main sequence	M2V	0.32260556062382656	3546.237208925943	0.014828885279072402	-	0.3797012822770584
0.05352556006319603	4.710026947831552	Main sequence	T6	0.102715329591074	997.948119373549	0.00027894729516989437	-	0.05352556006319603
0.11891910182709359	1.3405018894548317	Main sequence	M5V	0.13927050150457526	2996.0536243663846	0.0014080247414286677	-	0.11891910182709359
1.3140539671262315	4.962307003900505	Main sequence	F6V	1.4725232047835755	6429.314112603833	3.337924815053046	-	1.3140539671262315
0.03499754598491138	4.933006135463296	Main sequence	T8	0.09304465654164078	691.8283055113054	0.0001178442070033529	-	0.03499754598491138
0.25020404925664363	4.958582634219581	Main sequence	M3V	0.2240599240098273	3444.1314264747916	0.00636415735710478	-	0.25020404925664363
0.2561904032620778	8.211357603678595	Main sequence	M3V	0.2282889981002681	3453.2296249968617	0.006676755527223495	-	0.2561904032620778
0.011787748372939222	5.32317195900192	Main sequence	Y4	0.08135805646548802	274.43625972144673	1.2967664837803222e-05	-	0.011787748372939222
1.5161626648237414	3.7498513563253777	Giant	-	0	0	0.0	-	-
0.06751272571271423	4.095612073164203	Main sequence	T0	0.11021671941402648	1265.1966815864603	0.0004466775058703135	-	0.06751272571271423
0.22764487985643808	5.419402643523932	Main sequence	M3V	0.20840727545516036	3404.0810424260017	0.005254349949126563	-	0.22764487985643808
0.04944317799074767	2.003408665034303	Main sequence	T1	0.10055849723366066	1232.821088160017	0.00023749131577137746	-	0.04944317799074767
0.04515858425263798	5.234548995334304	Main sequence	T7	0.09831065953981787	837.9165603562196	0.00019761202341993285	-	0.04515858425263798
0.05478766574630272	5.257077067533993	Main sequence	T6	0.10338511227392311	981.7861926557141	0.0002924480388606211	-	0.05478766574630272
0.02864494154713927	3.0466925620517347	Main sequence	T8	0.08979870999321815	685.2760973369984	7.850425979616748e-05	-	0.02864494154713927
1.7580176577275428	2.5740278702416197	Giant	-	0	0	0.0	-	-
0.002557899954905831	3.551398842266323	Main sequence	Y7	0.07684284258836131	88.43775142794382	5.850430816813561e-07	-	0.002557899954905831
0.6013886377554272	3.7686144881430756	Main sequence	K7V	0.5256813206562413	4197.973788884241	0.07732103509409241	-	0.6013886377554272
0.06397390882181603	4.7187839814438535	Main sequence	T5	0.10830250791129485	1155.821716950366	0.000400473565946546	-	0.06397390882181603
0.7933409683715499	4.102655561470394	Main sequence	K3V	0.7365757022059785	4804.159433776769	0.2603742920538063	-	0.7933409683715499
0.07399809321427672	10.126301731862688	Main sequence	T6	0.11375347887676746	1017.9506206368784	0.0005379962304481769	-	0.07399809321427672
0.09184404414741427	2.3820714072119733	Main sequence	M6V	0.1236773901266892	2788.9985001749465	0.000833810625724812	-	0.09184404414741427
0.08556107298247217	3.038866014244504	Main sequence	M7V	0.12015143078280806	2729.770597768146	0.0007221978291811097	-	0.08556107298247217
0.6692381139830225	2.776477459918498	Main sequence	K5V	0.596508411998766	4453.044100266481	0.1260534706977112	-	0.6692381139830225
0.1731633018279299	5.156422300751789	Main sequence	M4V	0.17245855173523875	3257.4768142013204	0.0030170914941299067	-	0.1731633018279299
0.04356752856410594	3.2610637848299144	Main sequence	T6	0.09748006746269901	948.2148259100736	0.00018374791131107681	-	0.04356752856410594
0.19919356683280398	4.227738342637949	Main sequence	M3V	0.18930717365777303	3337.917711539614	0.004008024109301487	-	0.19919356683280398
0.08021284802198762	3.217966390519466	Main sequence	M7V	0.11717751051934254	2675.199180831439	0.0006335876501231687	-	0.08021284802198762
0.04102916077598115	2.7626376876124206	Main sequence	T6	0.09615957028485765	952.1076795554571	0.0001626866294293373	-	0.04102916077598115
0.03049660115768615	2.4445517786868827	Main sequence	T7	0.09074115992875258	775.0804823098059	8.913780188178626e-05	-	0.03049660115768615
0.08738717726178513	5.174663746972548	Main sequence	M6V	0.12117263419435471	2747.5037598613467	0.0007537996966164355	-	0.08738717726178513
0.39539007738391396	2.6345408413377696	Main sequence	M2V	0.33555024021120644	3549.2767717765305	0.016097863991396424	-	0.39539007738391396
0.17016048026641853	2.9740134638499596	Main sequence	M4V	0.17055340730756524	3246.6968721172307	0.002911933474894682	-	0.17016048026641853
8.57692191113485	3.7909799441029985	Neutron star	-	0	0	0.0	-	-
0.11199551508615471	6.341016138800064	Main sequence	M5V	0.1352214553540434	2949.500659987496	0.0012467485754453485	-	0.11199551508615471
0.044452854648853145	2.343463103614044	Main sequence	T5	0.09794196575630837	1073.0659099744653	0.00019139936884560483	-	0.044452854648853145
0.00745849511557755	6.505779698422603	Main sequence	Y5	0.07923083137882467	176.12498696203124	5.125504901603872e-06	-	0.00745849511557755
0.2120373453137591	2.33547903262963	Main sequence	M3V	0.19784102468655843	3370.229453500214	0.004549506214088959	-	0.2120373453137591
0.05331478413498458	9.52582450005757	Main sequence	T7	0.10260361068496097	791.7462045040357	0.0002767241388546351	-	0.05331478413498458
0.30454920828660775	4.238378499730284	Main sequence	M2V	0.26361256778898073	3507.986104589877	0.009481070129385476	-	0.30454920828660775
0.035608123571171484	9.540502763809709	Main sequence	T9	0.09335851636888805	566.7576896604241	0.00012205105880056467	-	0.035608123571171484
0.09051429330440813	4.895030373205671	Main sequence	M6V	0.12292823510774308	2776.875187120432	0.0008095103589284454	-	0.09051429330440813
0.003536866813418439	5.691245449790724	Main sequence	Y7	0.07731818380301442	99.2356944933194	1.1287525276657566e-06	-	0.003536866813418439
0.031168097090087728	1.7361420040512312	Main sequence	T7	0.09108368319267654	881.6987050266026	9.316321431994804e-05	-	0.031168097090087728
0.032873015382470665	3.401143167250432	Main sequence	T8	0.09195513362870028	741.0154175617342	0.00010378882447848558	-	0.032873015382470665
0.04319572560830121	2.514595948812415	Main sequence	T6	0.09728629429205522	1024.2482563152032	0.0001805817631994555	-	0.04319572560830121
0.16401295451843248	3.4630321567202254	Main sequence	M4V	0.16667793788888124	3223.5227835725627	0.0027025447399686166	-	0.16401295451843248
0.03269601452868146	2.504346447623216	Main sequence	T7	0.09186454215884332	814.6248233909085	0.00010265863615743984	-	0.03269601452868146
0.06496806604116426	3.5630166694248335	Main sequence	T0	0.10883914895238327	1282.2162562913172	0.0004131953982943518	-	0.06496806604116426
0.35529357618811325	3.9937883181911094	Main sequence	M2V	0.30289909986590946	3538.5503393463464	0.012959586856772749	-	0.35529357618811325
0.3434289392159346	2.045437329621667	Main sequence	M2V	0.2935097651006883	3533.3332917574717	0.012096986882167652	-	0.3434289392159346
0.029841111936837812	5.387626236299485	Main sequence	T9	0.09040718558159061	589.313844092182	8.529524549953245e-05	-	0.029841111936837812
0.04326894454557171	4.700943524355048	Main sequence	T7	0.0973244442757291	837.4854381630879	0.00018120306513995244	-	0.04326894454557171
0.09101527536780349	3.3190600355968742	Main sequence	M6V	0.12321029505503955	2781.4677276276275	0.0008186226841279516	-	0.09101527536780349
1.0462348105350563	4.49129600537376	Main sequence	G0V	1.064097240272061	5946.596855853769	1.2756463759179473	-	1.0462348105350563
0.11201091191739566	2.3181151892728	Main sequence	M5V	0.13523041275264583	2949.608543000004	0.0012470961982323473	-	0.11201091191739566
0.058120945640488225	4.7474781994882225	Main sequence	T5	0.10516080279727136	1065.5566118038444	0.00032966030667709925	-	0.058120945640488225
0.02285853780849287	7.83776504919126	Main sequence	Y1	0.0868730848740859	418.6606980124865	4.9676415324518074e-05	-	0.02285853780849287
0.039184932595891245	3.5656778623093643	Main sequence	T7	0.09520374367970405	843.8453684582905	0.0001481990920820551	-	0.039184932595891245
0.005617544477312214	5.238282718657395	Main sequence	Y6	0.07833127589278292	149.45318370803773	2.8845650810184994e-06	-	0.005617544477312214
0.1940868399825733	2.5930598942674963	Main sequence	M3V	0.185954562085372	3323.8175673309593	0.0038023848313017395	-	0.1940868399825733
0.04231984161158561	5.53788132011089	Main sequence	T7	0.09683029087836141	779.751087210553	0.00017323326874306853	-	0.04231984161158561
0.3424598821857059	3.4318666868515524	Main sequence	M2V	0.2927483722016782	3532.8602261037636	0.012027863133101389	-	0.3424598821857059
0.05920202873945518	2.9012332478074074	Main sequence	T0	0.1057388198556521	1269.0916776659697	0.00034221465460592396	-	0.05920202873945518
0.007095965447503924	4.800759820603482	Main sequence	Y5	0.07905344953949724	186.50457289349384	4.63288271671115e-06	-	0.007095965447503924
1.3685280520802132	1.3742633171346241	Main sequence	F5V	1.5633483586624644	6520.17527517748	3.9796262296423586	-	1.3685280520802132
1.0191731337748733	6.416510016555024	Main sequence	G1V	1.0263514203958524	5831.369418067684	1.0974078772843465	-	1.0191731337748733
0.5350966252593776	0.7489349353900635	Main sequence	K9V	0.460406372966394	3925.1290089402196	0.04533066322297611	-	0.5350966252593776
0.2221164108319809	5.299328792552618	Main sequence	M3V	0.20463991670502507	3392.71823749824	0.004998797596646168	-	0.2221164108319809
0.03374700658001894	3.34097735775639	Main sequence	T7	0.0924028599095686	761.6631531303559	0.0001094614254821983	-	0.03374700658001894
